43,95,61
24,86,9
85,15,100
54,95,86
16,79,65
74,6,11
56,13,85
86,52,73
86,33,21
82,32,54
83,48,3
63,95,35
63,99,26
31,59,71
26,52,21
22,22,7
8,17,70
8,63,92
55,87,19
35,60,6
60,32,100
64,18,60
14,47,57
71,95,95
42,47,19
56,20,15
47,26,79
18,25,48
72,63,23
35,35,83
80,30,89
70,27,42
73,61,6
65,41,5
34,52,61
2,100,16
44,33,11
28,64,77
65,25,46
22,44,35
46,20,20
32,40,34
45,15,98
54,31,71
2,89,32
60,64,94
65,39,22
50,52,90
72,8,8
4,99,96
20,67,89
4,3,34
7,11,20
46,45,20
37,37,20
64,39,96
61,62,73
63,82,24
77,29,34
72,26,77
13,87,41
65,36,15
18,78,53
79,40,18
45,54,92
85,29,71
29,59,1
51,6,46
20,21,51
60,48,21
92,43,87
71,89,100
94,67,6
89,2,49
95,62,42
69,39,26
36,59,3
3,37,11
20,8,12
67,65,92
22,5,59
79,12,30
8,40,8
22,24,56
69,48,13
36,91,20
13,94,61
49,53,87
10,93,99
89,31,64
22,92,50
90,92,22
39,76,58
50,43,8
19,24,71
49,28,2
40,84,10
100,13,78
2,88,74
57,72,26
82,54,71
47,69,36
7,85,77
94,20,83
48,15,72
85,15,89
93,61,81
84,93,1
90,27,16
29,54,49
39,92,41
68,82,28
18,42,22
51,77,93
92,36,85
97,53,26
58,98,96
33,89,81
79,53,96
8,67,71
4,60,37
2,56,65
69,25,7
76,60,52
23,79,73
63,86,98
27,82,41
25,16,64
34,80,99
26,69,85
84,85,70
45,5,42
80,9,43
96,88,83
93,80,32
78,64,5
77,85,76
11,26,7
13,1,12
9,32,4
33,7,5
58,20,9
63,45,53
2,41,67
1,62,4
99,46,3
65,65,70
29,40,91
57,51,55
99,8,40
24,85,58
8,65,11
31,98,54
33,16,12
9,48,33
82,15,83
46,96,11
88,7,29
73,44,61
1,80,64
27,67,76
64,47,16
40,21,30
6,47,86
92,5,58
74,9,77
81,82,91
14,47,19
49,56,11
51,94,23
56,48,15
50,12,4
35,53,38
89,42,44
91,18,80
83,39,47
89,51,48
84,85,68
67,67,9
97,26,90
91,98,31
16,39,33
46,56,12
48,42,59
28,96,92
44,21,77
66,3,88
81,80,19
91,3,6
82,25,74
75,70,15
89,30,22
5,73,38
11,60,74
61,11,61
84,16,21
25,69,37
17,45,18
33,91,60
18,34,85
7,29,77
68,4,17
18,78,57
85,48,34
24,55,60
100,84,36
53,2,79
11,79,34
61,16,23
72,37,80
2,75,53
79,34,73
11,14,2
42,57,45
71,48,61
81,48,14
92,92,37
99,31,10
53,17,76
12,67,42
5,99,93
52,82,38
43,68,36
9,59,21
80,56,73
50,26,87
49,78,78
1,73,97
78,94,93
64,72,44
1,79,56
6,93,7
94,56,26
61,5,3
10,64,14
63,21,97
4,70,12
44,3,29
39,68,68
50,93,93
65,29,68
79,40,88
13,10,100
6,60,43
65,59,9
49,15,80
27,36,49
31,72,64
20,96,1
92,79,37
3,72,41
47,11,46
52,87,38
40,18,49
20,56,71
27,28,96
52,70,2
80,61,20
14,77,90
65,46,54
23,22,97
31,55,88
